time,p1,v1,l1,p2,v2,l2
0.0,0.0,20.0,0.5,-15.0,20.0,0.5
0.1,1.999999999999979,19.999999999999865,0.4999997691782852,-12.983685905252749,20.328104775785455,0.4999998817053367
0.2,3.9999999999999574,19.99999999999976,0.49999976428212944,-10.936413223972401,20.615418580201467,0.49999985603020825
0.30000000000000004,5.999999999999927,19.999999999999684,0.49999983087929983,-8.862474276257046,20.86148978726835,0.5000000761375107
0.4,7.999999999999888,19.999999999999638,0.49999970304484,-6.765790529345729,21.070198457003485,0.5000000029408063
0.5,9.999999999999826,19.999999999999616,0.49999998292557424,-4.649947485411247,21.24477660312901,0.5000001578928343
0.6000000000000001,11.999999999999776,19.999999999999616,0.5000001777118742,-2.518177515348719,21.388659743953873,0.5000000116611081
0.7000000000000001,13.999999999999705,19.999999999999634,0.49999985656432616,-0.37346403429444064,21.504216511582065,0.49999996785008954
0.8,15.999999999999655,19.999999999999666,0.5000000168888081,1.7815866321799774,21.595159333478705,0.5000001077468693
0.9,17.99999999999962,19.99999999999971,0.4999999878553458,3.9444939840724214,21.662586542295724,0.5000002467867138
1.0,19.99999999999959,19.99999999999976,0.5000000161145877,6.113309680682454,21.711828815536627,0.5000002331480895
1.1,21.99999999999957,19.999999999999815,0.49999995598145375,8.286050843175966,21.742251946441836,0.5000001688322279
1.2000000000000002,23.999999999999556,19.999999999999876,0.49999989215092494,10.461137453233327,21.757991970965193,0.5000003170451458
1.3,25.999999999999538,19.99999999999994,0.5000000698307031,12.637026818103124,21.759200301007006,0.500000029009719
1.4000000000000001,27.999999999999524,20.000000000000007,0.49999989151764707,14.812473651953551,21.748891873868377,0.4999998634580114
1.5,29.999999999999524,20.000000000000075,0.499999759647239,16.986393127566583,21.728512650254103,0.5000000137987123
1.6,31.999999999999535,20.000000000000142,0.49999977521749356,19.157777975544327,21.698778218702184,0.49999997095917936
1.7000000000000002,33.99999999999955,20.000000000000206,0.4999996978347239,21.325786172502912,21.661326871036483,0.5000000049946555
1.8,35.99999999999957,20.00000000000027,0.4999998686379791,23.489796201318146,21.61828292931767,0.500000193223191
1.9000000000000001,37.999999999999595,20.00000000000033,0.5000000153834736,25.64921221148608,21.569782849230137,0.499999764469359
2.0,39.99999999999962,20.000000000000387,0.499999914247634,27.803587569701683,21.517329422629693,0.4999998138759701
2.1,41.99999999999965,20.00000000000044,0.5000001403055093,29.952533236789037,21.461413780841028,0.49999989824244995
2.2,43.99999999999969,20.00000000000049,0.4999999636079226,32.09577264909959,21.40314098184739,0.4999999129911094
2.3000000000000003,45.99999999999973,20.000000000000536,0.49999978724305144,34.23308463807369,21.343000901579753,0.4999999703748997
2.4000000000000004,47.99999999999979,20.00000000000058,0.49999976707374094,36.36432871489162,21.2817751847889,0.4999999747012848
2.5,49.99999999999984,20.000000000000618,0.49999994383818375,38.48941569287202,21.219929711459493,0.4999998446328924
2.6,51.9999999999999,20.00000000000065,0.499999923334838,40.608312212359465,21.157994834257757,0.49999983318254654
2.7,53.999999999999964,20.00000000000068,0.5000000869756516,42.721029243911346,21.096379825130768,0.499999997666267
2.8000000000000003,56.000000000000036,20.000000000000703,0.5000001867881487,44.827623077905095,21.03551040996462,0.5000000242844002
2.9000000000000004,58.00000000000011,20.000000000000725,0.5000002354821081,46.92817290603356,20.9755855444563,0.5000000811122558
3.0,60.00000000000018,20.000000000000743,0.5000002935292376,49.022797103094774,20.916981267986447,0.500000151709533
3.1,62.000000000000256,20.000000000000757,0.500000227054956,51.11163050249521,20.85983335210282,0.5000001004245068
3.2,64.00000000000033,20.000000000000767,0.5000002484780898,53.194838958845565,20.804438566750182,0.4999999435978148
3.3000000000000003,66.00000000000038,20.000000000000774,0.49999998493651643,55.27259279791705,20.75081649335101,0.49999997616605246
3.4000000000000004,68.00000000000045,20.000000000000778,0.4999999985218977,57.34508938289041,20.699230589400138,0.5000001811903871
3.5,70.00000000000053,20.000000000000778,0.49999988416067853,59.412521658414924,20.64961270647792,0.500000080718915
3.6,72.0000000000006,20.000000000000778,0.5000000090321861,61.47510588625328,20.602194164124022,0.5000001725534986
3.7,74.00000000000067,20.000000000000774,0.5000001164709718,63.53304734899692,20.556842712837707,0.5000001573915288
3.8000000000000003,76.00000000000074,20.000000000000767,0.5000002259963005,65.58657118401742,20.51375888784903,0.5000000399981446
3.9000000000000004,78.0000000000008,20.00000000000076,0.49999997612101205,67.63588693616896,20.47276605253176,0.4999999961197283
4.0,80.00000000000085,20.00000000000075,0.49999974864429575,69.68122080988934,20.434035589750746,0.500000136217334
4.1000000000000005,82.0000000000009,20.00000000000074,0.5000000168470766,71.72278039812535,20.397362569004528,0.5000000549617626
4.2,84.00000000000095,20.000000000000725,0.5000000642585437,73.7607870370029,20.3628911477111,0.500000149776502
4.3,86.00000000000101,20.00000000000071,0.5000002472901248,75.79544171308176,20.33040097866376,0.5000000320548017
4.4,88.00000000000107,20.000000000000696,0.5000002320060678,77.82695652604448,20.300011157889422,0.4999999722723507
4.5,90.00000000000112,20.00000000000068,0.5000003194348139,79.85552249559738,20.271495998894345,0.49999996764361815
4.6000000000000005,92.00000000000114,20.00000000000066,0.4999999052656817,81.8813394126996,20.244951861517055,0.5000000084496067
4.7,94.00000000000117,20.000000000000643,0.5000001428364047,83.90458603154748,20.22015540355284,0.5000000268682451
4.800000000000001,96.00000000000122,20.000000000000625,0.5000002111259424,85.92544781929038,20.19718265122838,0.49999992073898486
4.9,98.00000000000126,20.000000000000608,0.5000000026066427,87.94408982676204,20.17581828630035,0.49999988647749316
5.0,100.00000000000132,20.000000000000586,0.49999990755785595,89.96068203347915,20.15612041289646,0.4999996910570996
5.1000000000000005,102.00000000000136,20.000000000000565,0.4999997089638193,91.97537503533037,20.137885737796992,0.49999988504684734
5.2,104.00000000000138,20.000000000000544,0.5000000215589057,93.98832283304434,20.12115680706471,0.4999999519518116
5.300000000000001,106.00000000000142,20.000000000000522,0.4999999128900301,95.99966135463366,20.105744994358655,0.49999997630039067
5.4,108.00000000000146,20.0000000000005,0.499999740532233,98.00952865198138,20.09167954843893,0.5000000293963904
5.5,110.00000000000149,20.00000000000048,0.49999990613986706,100.01804618556727,20.07878806310806,0.500000235543744
5.6000000000000005,112.0000000000015,20.000000000000462,0.5000002193431365,102.0253364818433,20.06708861103766,0.5000001102489111
5.7,114.0000000000015,20.000000000000444,0.49999987255531336,104.03150704209476,20.056425700932746,0.4999999583792796
5.800000000000001,116.00000000000153,20.000000000000426,0.49999995817836557,106.03666557775276,20.046808187302318,0.5000000938975613
5.9,118.00000000000156,20.00000000000041,0.5000000713544955,108.04090635997001,20.038097527137836,0.5000002090480163
6.0,120.00000000000159,20.00000000000039,0.49999994429297645,110.04432319480331,20.030295136368004,0.5000001580200648
6.1000000000000005,122.00000000000162,20.000000000000373,0.5000000042100505,112.04699800154128,20.023278958597757,0.4999998670641923
6.2,124.00000000000165,20.000000000000355,0.4999998953074079,114.0490117181091,20.017044562521303,0.499999925815861
6.300000000000001,126.00000000000165,20.000000000000338,0.5000001533075812,116.05043488183514,20.01148556533682,0.4999999059438276
6.4,128.00000000000168,20.00000000000032,0.5000002420895614,118.0513366705183,20.006593091374103,0.4999998468738693
6.5,130.0000000000017,20.000000000000306,0.5000002467074134,120.05177725462939,20.00227537291435,0.499999836097887
6.6000000000000005,132.0000000000017,20.00000000000029,0.4999999805611674,122.05181518519463,19.99852030905784,0.49999996695921783
6.7,134.00000000000173,20.000000000000277,0.4999999205306021,124.05150129048303,19.99524954204157,0.49999978711362436
6.800000000000001,136.00000000000173,20.000000000000263,0.5000001585604168,126.05088461903433,19.992448788062035,0.49999987517895395
6.9,138.00000000000176,20.00000000000025,0.5000002540791817,128.05000766333507,19.990051814506597,0.5000000566461262
7.0,140.0000000000018,20.000000000000234,0.5000002952369231,130.04891105835054,19.9880430314974,0.49999999850569615
7.1000000000000005,142.0000000000018,20.00000000000022,0.5000001552313854,132.047629928853,19.9863670291246,0.4999998817383169
7.2,144.0000000000018,20.00000000000021,0.4999999789102648,134.04619753136342,19.985007636390584,0.49999970190878124
7.300000000000001,146.0000000000018,20.0000000000002,0.5000001653076552,136.04464253776757,19.983918980893073,0.49999988734873513
7.4,148.0000000000018,20.00000000000019,0.5000002571271133,138.0429917943523,19.983084899287558,0.49999997867372314
7.5,150.0000000000018,20.000000000000178,0.5000003369741415,140.0412683722884,19.982467825347555,0.5000000783110689
7.6000000000000005,152.0000000000018,20.000000000000167,0.5000002088101789,142.03949360086375,19.982052067466736,0.4999997945179856
7.7,154.0000000000018,20.000000000000156,0.4999999441217619,144.03768573429264,19.98180721061622,0.49999991481589673
7.800000000000001,156.0000000000018,20.000000000000146,0.5000001299329176,146.03586139938358,19.981718393186956,0.49999995783673684
7.9,158.0000000000018,20.00000000000014,0.5000002106621395,148.03403474555267,19.981761277130932,0.4999999015660847
8.0,160.0000000000018,20.00000000000013,0.5000001905700108,150.03221843094522,19.9819220950749,0.5000000206429455
8.1,162.0000000000018,20.000000000000124,0.5000001709323133,152.03042314125196,19.982181616803068,0.5000000681531396
8.200000000000001,164.0000000000018,20.000000000000117,0.5000000744425004,154.02865822119517,19.982527353899393,0.5000001872274593
8.3,166.0000000000018,20.00000000000011,0.500000134678038,156.02693152404495,19.98294491077181,0.5000001097943767
8.4,168.0000000000018,20.000000000000103,0.5000002004768155,158.0252496300137,19.98342225131336,0.5000000481779869
8.5,170.00000000000176,20.000000000000096,0.4999998496757962,160.02361790089066,19.983947771470458,0.5000000184430273
8.6,172.00000000000176,20.00000000000009,0.4999997347422254,162.02204071973867,19.984512275736652,0.5000001165756821
8.700000000000001,174.00000000000176,20.00000000000008,0.4999997645517175,164.02052153780596,19.985106910470776,0.5000001393557592
8.8,176.00000000000176,20.000000000000075,0.4999997371344563,166.01906296808068,19.98572376567564,0.49999999587695637
8.9,178.00000000000176,20.00000000000007,0.49999986823308423,168.01766687699882,19.98635581358195,0.49999981268185045
9.0,180.00000000000176,20.000000000000068,0.5000000794038242,170.01633446926613,19.986996840830468,0.49999999738108564
9.1,182.00000000000176,20.000000000000064,0.49999995129142477,172.01506636605487,19.987641383916028,0.500000076814488
9.200000000000001,184.00000000000176,20.00000000000006,0.4999998404300881,174.0138626769147,19.98828466802372,0.5000001088509579
9.3,186.00000000000173,20.000000000000057,0.5000001023046327,176.01272306573543,19.988922549226313,0.5000001747370334
9.4,188.00000000000173,20.000000000000053,0.5000001607105206,178.01164681109518,19.989551459991954,0.4999999586340121
9.5,190.0000000000017,20.00000000000005,0.4999998833910946,180.0106328613219,19.990168357935527,0.499999964875052
9.600000000000001,192.0000000000017,20.000000000000046,0.49999981262550697,182.0096798845886,19.990770677733988,0.5000000067021227
9.700000000000001,194.0000000000017,20.000000000000043,0.49999975714762623,184.00878631435413,19.991356286115295,0.5000000671753659
9.8,196.00000000000168,20.00000000000004,0.5000000880935792,186.00795039045227,19.99192343982164,0.5000000291622402
9.9,198.00000000000168,20.000000000000036,0.5000001718536856,188.00717019612085,19.99247074644079,0.4999999326062604
